row_id,image,prob_edge,N_cand,label
r00000,17,0.1423,5,1
r00001,217,0.3775,11,0
r00002,217,0.4562,11,1
r00003,217,0.1767,11,1
r00004,333,0.1427,13,0
r00005,333,0.9717,13,0
r00006,333,0.1427,13,0
r00007,333,0.9717,13,0
r00008,402,0.5308,3,0
r00009,402,0.8179,3,1
r00010,555,0.9791,7,1
r00011,579,0.1463,10,1
r00012,579,0.1476,10,0
r00013,579,0.8062,10,1
r00014,579,0.1421,10,0
r00015,579,0.1491,10,0
r00016,586,0.1444,15,0
r00017,586,0.5242,15,0
r00018,586,0.4327,15,1
r00019,586,0.2587,15,1
r00020,587,0.1523,19,0
r00021,587,0.1454,19,1
r00022,587,0.1503,19,0
r00023,587,0.1427,19,1
r00024,588,0.3735,12,1
r00025,588,0.1498,12,0
r00026,588,0.2334,12,0
r00027,588,0.1827,12,1
r00028,588,0.4343,12,0
r00029,588,0.2876,12,0
r00030,591,0.6008,20,1
r00031,591,0.674,20,0
r00032,591,0.2101,20,0
r00033,591,0.3278,20,0
r00034,591,0.233,20,0
r00035,591,0.1484,20,0
r00036,612,0.1608,5,1
r00037,612,0.7562,5,1
r00038,613,0.1426,10,1
r00039,613,0.2335,10,1
r00040,613,0.9549,10,1
r00041,665,0.1584,10,1
r00042,695,0.3265,9,0
r00043,695,0.1513,9,1
r00044,708,0.1805,5,1
r00045,716,0.1571,7,0
r00046,716,0.2761,7,0
r00047,718,0.2462,6,0
r00048,745,0.1432,12,1
r00049,745,0.1798,12,0
r00050,745,0.1457,12,0
r00051,745,0.1543,12,0
r00052,766,0.1474,10,0
r00053,766,0.2212,10,1
r00054,766,0.2272,10,0
r00055,766,0.3079,10,1
r00056,767,0.1545,14,1
r00057,767,0.1743,14,1
r00058,767,0.1476,14,0
r00059,767,0.6498,14,0
r00060,767,0.8129,14,0
r00061,767,0.1736,14,0
r00062,767,0.3238,14,1
r00063,769,0.7771,10,1
r00064,769,0.9991,10,1
r00065,769,0.5661,10,1
r00066,810,0.9914,11,0
r00067,810,0.1648,11,0
r00068,810,0.4734,11,1
r00069,810,0.1732,11,0
r00070,810,0.944,11,0
r00071,810,0.2179,11,1
r00072,832,0.1483,19,1
r00073,832,0.1577,19,0
r00074,832,0.1775,19,0
r00075,832,0.1497,19,0
r00076,832,0.5156,19,0
r00077,832,0.1475,19,0
r00078,832,0.582,19,0
r00079,953,0.1991,5,1
r00080,953,0.1462,5,0
r00081,953,0.1439,5,0
r00082,1020,0.1555,8,1
r00083,1023,0.2656,5,0
r00084,1060,0.1969,11,0
r00085,1060,0.1761,11,0
r00086,1060,0.1713,11,0
r00087,1060,0.2152,11,1
r00088,1060,0.1975,11,0
r00089,1060,0.1544,11,0
r00090,1060,0.7546,11,1
r00091,1060,0.1969,11,0
r00092,1060,0.1761,11,0
r00093,1060,0.1713,11,0
r00094,1060,0.2152,11,0
r00095,1060,0.1975,11,0
r00096,1060,0.1544,11,0
r00097,1060,0.7546,11,0
r00098,1154,0.2598,11,0
r00099,1154,0.2552,11,0
r00100,1154,0.2508,11,0
r00101,1154,0.1731,11,0
r00102,1154,0.2063,11,0
r00103,1155,0.255,12,0
r00104,1155,0.239,12,0
r00105,1155,0.1424,12,0
r00106,1155,0.1451,12,1
r00107,1155,0.1448,12,1
r00108,1198,0.1538,7,0
r00109,1198,0.1567,7,0
r00110,1204,0.3164,11,1
r00111,1204,0.265,11,1
r00112,1204,0.1802,11,0
r00113,1220,0.9773,5,1
r00114,1262,0.1714,15,0
r00115,1262,0.1801,15,0
r00116,1314,0.7596,10,0
r00117,1314,0.8387,10,1
r00118,1315,0.1518,21,0
r00119,1315,0.2069,21,1
r00120,1315,0.1437,21,0
r00121,1315,0.8809,21,0
r00122,1355,0.2352,8,0
