row_id,image,prob_edge,label
edge_0006,1262,0.92000000,0
edge_0007,1262,0.94000000,1
edge_0008,5500,0.95000000,1
edge_0009,5500,0.95000000,1
edge_0010,5500,0.60000000,1
edge_0011,5500,0.90000000,1
edge_0012,16062,0.92000000,1
edge_0013,6655,0.95000000,1
edge_0014,216,0.85000000,1
edge_0015,15534,0.95000000,1
edge_0016,16700,0.95000000,1
edge_0017,16700,0.90000000,1
edge_0018,17287,0.98000000,1
edge_0019,16110,0.90000000,1
edge_0020,16110,0.95000000,1
edge_0021,15760,0.55000000,1
edge_0023,15712,0.95000000,1
edge_0024,2281,0.95000000,1
edge_0025,1679,0.78000000,1
edge_0026,1204,0.95000000,1
edge_0027,1204,0.92000000,1
edge_0028,9213,0.95000000,1
edge_0031,8877,0.90000000,0
edge_0032,2166,0.95000000,1
edge_0033,2166,0.95000000,1
edge_0034,3249,0.85000000,1
edge_0037,14572,0.70000000,1
edge_0038,14572,0.95000000,1
edge_0039,14572,0.50000000,0
edge_0040,14572,0.75000000,1
edge_0041,14572,0.90000000,1
edge_0046,15653,0.95000000,1
edge_0047,15653,0.70000000,1
edge_0048,15653,0.65000000,1
edge_0049,15653,0.65000000,0
edge_0050,4639,0.98000000,1
edge_0051,10832,0.92000000,1
edge_0054,2496,0.95000000,1
edge_0057,16126,0.95000000,1
edge_0058,16126,0.75000000,1
edge_0059,5402,0.95000000,1
edge_0060,6461,0.62000000,1
edge_0061,4553,0.75000000,1
edge_0062,13093,0.75000000,0
edge_0063,13093,0.92000000,0
edge_0065,10422,0.90000000,1
edge_0066,10422,0.95000000,0
edge_0067,10422,0.95000000,1
edge_0068,3366,0.92000000,1
edge_0069,3366,0.96000000,1
edge_0070,3366,0.96000000,1
edge_0071,3031,0.95000000,0
edge_0072,9163,0.90000000,1
edge_0073,16543,0.95000000,1
edge_0074,16543,0.65000000,0
edge_0075,16543,0.90000000,0
edge_0078,1833,0.95000000,1
edge_0079,1833,0.65000000,1
edge_0080,14643,0.95000000,1
edge_0081,16087,0.95000000,1
edge_0082,16087,0.90000000,0
edge_0083,17211,0.90000000,1
edge_0084,17211,0.90000000,1
edge_0085,17211,0.65000000,0
edge_0086,17211,0.65000000,0
edge_0087,17211,0.65000000,0
edge_0088,15699,0.95000000,1
edge_0089,14571,0.95000000,1
edge_0090,14571,0.65000000,0
edge_0091,14571,0.95000000,0
edge_0092,14571,0.70000000,0
edge_0093,14571,0.75000000,0
edge_0094,14571,0.65000000,0
edge_0095,14571,0.60000000,0
edge_0096,14571,0.85000000,0
edge_0097,14571,0.85000000,0
edge_0098,14571,0.60000000,0
edge_0099,14571,0.90000000,0
edge_0100,16015,0.92000000,1
edge_0101,16015,0.95000000,1
edge_0102,16015,0.90000000,1
edge_0103,10434,0.90000000,0
edge_0104,10434,0.85000000,0
edge_0105,10434,0.60000000,1
edge_0106,10434,0.65000000,0
edge_0107,10434,0.95000000,1
edge_0108,10434,0.90000000,1
edge_0109,7362,0.88000000,1
edge_0110,7362,0.75000000,0
edge_0111,117,0.92000000,1
edge_0112,2723,0.90000000,1
edge_0113,2723,0.70000000,1
edge_0114,2977,0.85000000,1
edge_0115,14867,0.90000000,1
edge_0120,3028,0.95000000,1
edge_0121,3028,0.85000000,0
edge_0122,2438,0.90000000,1
edge_0123,16675,0.75000000,1
edge_0124,16465,0.95000000,1
edge_0125,16878,0.92000000,1
edge_0126,8146,0.95000000,1
edge_0127,15008,0.90000000,1
edge_0128,14864,0.95000000,0
edge_0129,14864,0.92000000,1
edge_0130,4987,0.95000000,1
edge_0131,6867,0.95000000,1
edge_0132,12302,0.85000000,1
edge_0133,12302,0.95000000,0
edge_0134,12302,0.90000000,0
edge_0135,12302,0.95000000,0
edge_0136,3524,0.90000000,1
edge_0137,3524,0.88000000,1
edge_0138,3524,0.75000000,1
edge_0139,7636,0.95000000,1
edge_0140,12302,0.95000000,1
edge_0141,12302,0.70000000,0
edge_0142,12302,0.95000000,0
edge_0145,11305,0.90000000,1
edge_0146,11305,0.90000000,1
edge_0147,11305,0.85000000,1
edge_0148,11305,0.95000000,1
edge_0149,1060,0.95000000,1
edge_0150,14169,0.95000000,1
edge_0151,14169,0.90000000,1
edge_0152,14169,0.95000000,1
edge_0153,16147,0.90000000,1
edge_0154,16974,0.95000000,1
edge_0155,16974,0.90000000,1
edge_0156,16974,0.45000000,0
edge_0157,16974,0.70000000,0
edge_0158,16974,0.75000000,0
edge_0159,14369,0.90000000,0
edge_0160,12996,0.92000000,1
edge_0161,12996,0.94000000,1
edge_0162,12996,0.70000000,1
edge_0163,7361,0.92000000,1
edge_0164,7361,0.88000000,0
edge_0167,3058,0.95000000,1
edge_0168,3058,0.95000000,0
edge_0169,3058,0.85000000,0
edge_0170,767,0.65000000,1
edge_0171,6561,0.92000000,1
edge_0172,6561,0.88000000,1
edge_0173,9251,0.95000000,1
edge_0174,9330,0.95000000,1
edge_0176,15535,0.95000000,1
edge_0177,15535,0.60000000,1
edge_0178,15535,0.75000000,0
edge_0179,15535,0.75000000,0
edge_0180,15535,0.80000000,0
edge_0181,14747,0.70000000,0
edge_0182,14747,0.95000000,1
edge_0183,8343,0.95000000,1
edge_0184,16999,0.55000000,0
edge_0185,11119,0.88000000,1
edge_0186,5127,0.95000000,1
edge_0187,693,0.92000000,1
edge_0188,16467,0.95000000,1
edge_0189,14714,0.90000000,1
edge_0190,14714,0.90000000,1
edge_0191,15566,0.95000000,1
edge_0192,2166,0.90000000,1
edge_0193,2166,0.95000000,0
edge_0194,2166,0.95000000,1
edge_0195,9214,0.92000000,0
edge_0196,2221,0.65000000,1
edge_0197,15499,0.90000000,1
edge_0198,17503,0.95000000,1
edge_0199,8878,0.90000000,0
edge_0200,8878,0.85000000,0
edge_0201,8878,0.95000000,0
edge_0202,17461,0.90000000,1
edge_0203,17461,0.65000000,1
edge_0204,17461,0.88000000,1
edge_0205,16709,0.95000000,0
edge_0206,16709,0.60000000,0
edge_0207,16709,0.60000000,0
edge_0208,1678,0.75000000,1
edge_0209,1678,0.90000000,1
edge_0211,16675,0.75000000,0
edge_0212,16675,0.90000000,1
edge_0213,16346,0.75000000,1
edge_0214,3720,0.95000000,1
edge_0215,3720,0.90000000,1
edge_0216,5747,0.95000000,1
edge_0217,5747,0.75000000,1
edge_0218,5747,0.90000000,1
edge_0220,15534,0.92000000,1
edge_0221,15534,0.75000000,0
edge_0222,15534,0.95000000,1
edge_0223,15534,0.90000000,0
edge_0224,15534,0.88000000,0
edge_0225,15534,0.85000000,0
edge_0226,15534,0.85000000,0
edge_0227,15534,0.70000000,0
edge_0228,15534,0.85000000,0
edge_0229,810,0.92000000,1
edge_0230,810,0.95000000,1
edge_0231,16181,0.95000000,1
edge_0232,16651,0.95000000,1
edge_0233,5527,0.90000000,1
edge_0234,15682,0.90000000,1
edge_0235,14729,0.95000000,1
edge_0236,6027,0.90000000,1
edge_0237,12298,0.95000000,1
edge_0238,12298,0.80000000,1
edge_0239,12298,0.65000000,1
edge_0240,12298,0.90000000,1
edge_0241,12298,0.75000000,1
edge_0243,4342,0.95000000,1
edge_0244,13609,0.90000000,1
edge_0245,13609,0.95000000,1
edge_0246,13609,0.90000000,0
edge_0247,13609,0.65000000,1
edge_0249,14783,0.95000000,1
edge_0250,15760,0.95000000,0
edge_0251,15760,0.65000000,1
edge_0252,4302,0.95000000,1
edge_0255,2521,0.95000000,1
edge_0256,1749,0.90000000,0
edge_0257,1749,0.95000000,0
edge_0261,4262,0.75000000,0
edge_0262,15763,0.95000000,0
edge_0263,3149,0.95000000,1
edge_0264,3149,0.85000000,1
edge_0265,6295,0.95000000,1
edge_0266,10394,0.95000000,0
edge_0267,10394,0.90000000,1
edge_0268,17032,0.90000000,1
edge_0270,15475,0.90000000,0
edge_0271,7442,0.85000000,1
edge_0272,16006,0.95000000,1
edge_0273,15729,0.90000000,0
edge_0274,15729,0.65000000,1
edge_0275,15729,0.60000000,1
edge_0276,15729,0.85000000,0
edge_0277,15729,0.75000000,1
edge_0278,15729,0.40000000,0
edge_0279,1998,0.90000000,1
edge_0280,6380,0.95000000,1
edge_0285,10484,0.95000000,0
edge_0286,10484,0.65000000,0
edge_0288,2221,0.75000000,1
edge_0289,2221,0.65000000,0
edge_0290,15535,0.90000000,1
edge_0292,2812,0.95000000,1
edge_0293,1678,0.65000000,1
edge_0294,15533,0.95000000,1
edge_0295,2079,0.85000000,0
edge_0297,1266,0.90000000,1
edge_0300,17327,0.95000000,0
edge_0301,3425,0.95000000,0
edge_0302,3425,0.90000000,1
edge_0303,9138,0.95000000,0
edge_0304,9138,0.90000000,1
edge_0305,9138,0.90000000,1
