row_id,image,prob_edge,label
r00000,17,0.1423,1
r00001,217,0.3775,0
r00002,217,0.4562,1
r00003,217,0.1767,1
r00004,333,0.1427,0
r00005,333,0.9717,0
r00006,333,0.1427,0
r00007,333,0.9717,0
r00008,402,0.5308,0
r00009,402,0.8179,1
r00010,555,0.9791,1
r00011,579,0.1463,1
r00012,579,0.1476,0
r00013,579,0.8062,1
r00014,579,0.1421,0
r00015,579,0.1491,0
r00016,586,0.1444,0
r00017,586,0.5242,0
r00018,586,0.4327,1
r00019,586,0.2587,1
r00020,587,0.1523,0
r00021,587,0.1454,1
r00022,587,0.1503,0
r00023,587,0.1427,1
r00024,588,0.3735,1
r00025,588,0.1498,0
r00026,588,0.2334,0
r00027,588,0.1827,1
r00028,588,0.4343,0
r00029,588,0.2876,0
r00030,591,0.6008,1
r00031,591,0.674,0
r00032,591,0.2101,0
r00033,591,0.3278,0
r00034,591,0.233,0
r00035,591,0.1484,0
r00036,612,0.1608,1
r00037,612,0.7562,1
r00038,613,0.1426,1
r00039,613,0.2335,1
r00040,613,0.9549,1
r00041,665,0.1584,1
r00042,695,0.3265,0
r00043,695,0.1513,1
r00044,708,0.1805,1
r00045,716,0.1571,0
r00046,716,0.2761,0
r00047,718,0.2462,0
r00048,745,0.1432,1
r00049,745,0.1798,0
r00050,745,0.1457,0
r00051,745,0.1543,0
r00052,766,0.1474,0
r00053,766,0.2212,1
r00054,766,0.2272,0
r00055,766,0.3079,1
r00056,767,0.1545,1
r00057,767,0.1743,1
r00058,767,0.1476,0
r00059,767,0.6498,0
r00060,767,0.8129,0
r00061,767,0.1736,0
r00062,767,0.3238,1
r00063,769,0.7771,1
r00064,769,0.9991,1
r00065,769,0.5661,1
r00066,810,0.9914,0
r00067,810,0.1648,0
r00068,810,0.4734,1
r00069,810,0.1732,0
r00070,810,0.944,0
r00071,810,0.2179,1
r00072,832,0.1483,1
r00073,832,0.1577,0
r00074,832,0.1775,0
r00075,832,0.1497,0
r00076,832,0.5156,0
r00077,832,0.1475,0
r00078,832,0.582,0
r00079,953,0.1991,1
r00080,953,0.1462,0
r00081,953,0.1439,0
r00082,1020,0.1555,1
r00083,1023,0.2656,0
r00084,1060,0.1969,0
r00085,1060,0.1761,0
r00086,1060,0.1713,0
r00087,1060,0.2152,1
r00088,1060,0.1975,0
r00089,1060,0.1544,0
r00090,1060,0.7546,1
r00091,1060,0.1969,0
r00092,1060,0.1761,0
r00093,1060,0.1713,0
r00094,1060,0.2152,0
r00095,1060,0.1975,0
r00096,1060,0.1544,0
r00097,1060,0.7546,0
r00098,1154,0.2598,0
r00099,1154,0.2552,0
r00100,1154,0.2508,0
r00101,1154,0.1731,0
r00102,1154,0.2063,0
r00103,1155,0.255,0
r00104,1155,0.239,0
r00105,1155,0.1424,0
r00106,1155,0.1451,1
r00107,1155,0.1448,1
r00108,1198,0.1538,0
r00109,1198,0.1567,0
r00110,1204,0.3164,1
r00111,1204,0.265,1
r00112,1204,0.1802,0
r00113,1220,0.9773,1
r00114,1262,0.1714,0
r00115,1262,0.1801,0
r00116,1314,0.7596,0
r00117,1314,0.8387,1
r00118,1315,0.1518,0
r00119,1315,0.2069,1
r00120,1315,0.1437,0
r00121,1315,0.8809,0
r00122,1355,0.2352,0
r00123,1570,0.1524,1
r00124,1570,0.1522,0
r00125,1653,0.2168,1
r00126,1653,0.1505,0
r00127,1653,0.4399,0
r00128,1653,0.1597,0
r00129,1679,0.1513,0
r00130,1679,0.2078,1
r00131,1698,0.1713,0
r00132,1698,0.1527,0
r00133,1698,0.3737,0
r00134,1698,0.1535,1
r00135,1698,0.1426,0
r00136,1749,0.5381,1
r00137,1749,0.2892,1
r00138,1814,0.2174,0
r00139,1814,0.1789,0
r00140,1814,0.2808,0
r00141,1814,0.3897,0
r00142,1814,0.8906,0
r00143,1814,0.8464,0
r00144,1814,0.1894,1
r00145,1814,0.4864,0
r00146,1814,0.179,0
r00147,1814,0.4544,0
r00148,1814,0.1706,0
r00149,1814,0.2174,1
r00150,1814,0.1789,1
r00151,1814,0.2808,0
r00152,1814,0.3897,0
r00153,1814,0.8906,1
r00154,1814,0.8464,0
r00155,1814,0.1894,0
r00156,1814,0.4864,0
r00157,1814,0.179,0
r00158,1814,0.4544,0
r00159,1814,0.1706,0
r00160,1925,0.1968,0
r00161,1925,0.3504,0
r00162,1925,0.4786,0
r00163,1925,0.9955,1
r00164,1925,0.1576,1
r00165,1925,0.9733,1
r00166,1925,0.392,0
r00167,1935,0.3872,1
r00168,1935,0.1443,0
r00169,1935,0.3401,0
r00170,1963,0.146,0
r00171,1963,0.2443,0
r00172,1963,0.4731,0
r00173,1963,0.4516,1
r00174,1963,0.1446,0
r00175,1994,0.6941,1
r00176,1994,0.1437,0
r00177,1997,0.2454,0
r00178,1997,0.3856,0
r00179,1997,0.2827,0
r00180,1997,0.1516,1
r00181,1997,0.1422,0
r00182,1997,0.1422,0
r00183,1997,0.145,0
r00184,1997,0.2808,1
r00185,1998,0.1439,0
r00186,1998,0.999,0
r00187,1998,0.4744,0
r00188,1998,0.2957,1
r00189,1998,0.1475,0
r00190,1998,0.6599,0
r00191,1998,0.1763,0
r00192,1998,0.162,0
r00193,1998,0.2522,1
r00194,1998,0.1439,0
r00195,1998,0.999,1
r00196,1998,0.4744,0
r00197,1998,0.2957,0
r00198,1998,0.1475,1
r00199,1998,0.6599,1
r00200,1998,0.1763,0
r00201,1998,0.162,0
r00202,1998,0.2522,1
r00203,2004,0.5128,0
r00204,2004,0.9332,0
r00205,2004,0.2569,0
r00206,2004,0.1925,0
r00207,2004,0.2521,0
r00208,2004,0.2124,0
r00209,2004,0.1478,0
r00210,2004,0.142,0
r00211,2004,0.9641,0
r00212,2005,0.1915,0
r00213,2005,0.9243,0
r00214,2005,0.1789,0
r00215,2005,0.155,0
r00216,2005,0.1512,0
r00217,2005,0.1456,0
r00218,2005,0.1638,0
r00219,2005,0.2106,0
r00220,2005,0.245,0
r00221,2005,0.1423,0
r00222,2005,0.1471,1
r00223,2005,0.2554,1
r00224,2005,0.9494,1
r00225,2005,0.2436,0
r00226,2005,0.1433,0
r00227,2076,0.5995,0
r00228,2076,0.321,0
r00229,2076,0.1559,0
r00230,2076,0.3581,0
r00231,2076,0.5995,0
r00232,2076,0.321,0
r00233,2076,0.1559,1
r00234,2076,0.3581,0
r00235,2079,0.1533,0
r00236,2079,0.1649,0
r00237,2079,0.2609,0
r00238,2079,0.264,0
r00239,2079,0.1514,0
r00240,2079,0.1563,1
r00241,2079,0.1523,0
r00242,2079,0.1423,1
r00243,2079,0.1533,0
r00244,2079,0.1649,0
r00245,2079,0.2609,0
r00246,2079,0.264,0
r00247,2079,0.1514,0
r00248,2079,0.1563,1
r00249,2079,0.1523,0
r00250,2079,0.1423,1
r00251,2079,0.1533,0
r00252,2079,0.1649,0
r00253,2079,0.2609,0
r00254,2079,0.264,0
r00255,2079,0.1514,0
r00256,2079,0.1563,0
r00257,2079,0.1523,0
r00258,2079,0.1423,0
r00259,2107,0.1628,0
r00260,2107,0.9942,0
r00261,2148,0.1473,1
r00262,2148,0.1957,0
