sample_id,edge,edge_confidence,label,difficulty_level
3,2->1,0.5150817997,0,easy
58,1->2,0.5375973145,1,med
59,2->3,0.5447928803,0,easy
60,2->3,0.8487870895,1,med
62,3->4,0.8256794881,1,med
65,2->1,0.4403456594,1,med
67,1->2,0.5527416717,1,med
68,3->2,0.7352714212,1,med
69,2->1,0.5444040462,0,easy
70,1->2,0.7988650515,1,med
70,2->1,0.5444040462,0,med
71,2->1,0.8309314785,1,med
72,2->1,0.4540365008,0,easy
73,2->1,0.9172911963,1,med
74,2->1,0.8236989336,0,easy
75,1->3,0.6001688145,1,med
75,4->2,0.3891820651,0,med
78,2->1,0.7392120806,1,med
79,2->1,0.8094049221,1,med
80,1->2,0.5473931057,0,med
80,2->1,0.7988650515,1,med
81,1->2,0.5473931057,0,easy
84,2->1,0.5106106318,0,easy
85,1->2,0.8141933265,1,med
85,2->1,0.5106106318,0,med
86,2->1,0.9475660507,0,easy
87,2->1,0.8322907191,1,med
88,2->1,0.5488319402,0,easy
89,4->1,0.4882398517,0,med
90,2->1,0.4999939231,0,easy
91,2->1,0.4999939231,0,med
93,2->1,0.5445107572,0,easy
94,2->1,0.5445107572,0,med
96,1->2,0.8141933265,1,med
98,2->4,0.7658482695,1,med
99,4->3,0.7772399409,1,med
102,2->1,0.5436552098,0,easy
103,1->2,0.8141933265,1,med
103,2->1,0.5436552098,0,med
104,2->4,0.7421553307,1,med
104,5->1,0.3969228808,0,med
105,2->1,0.4886180124,0,med
111,1->2,0.6131149611,0,easy
112,1->2,0.8715398608,1,med
113,4->1,0.5565229431,1,med
114,1->2,0.7988650515,1,med
114,2->1,0.5486217511,0,med
115,4->3,0.3682659086,0,easy
116,3->4,0.8347888828,1,med
116,4->3,0.3682659086,0,med
117,5->2,0.6363157556,0,med
118,5->2,0.6363157556,0,easy
119,1->3,0.4581153084,0,easy
120,1->3,0.7963825091,1,med
120,2->3,0.8256794881,1,med
121,1->2,0.5101051025,0,easy
123,3->2,0.4457595632,0,easy
124,2->3,0.6788601461,1,med
124,3->2,0.4457595632,0,med
125,1->2,0.8601672227,0,easy
126,1->2,0.9303948360,1,med
127,1->2,0.6491901548,0,easy
128,1->2,0.8840219721,1,med
129,4->3,0.4779855138,0,easy
130,4->3,0.4779855138,0,med
133,4->3,0.4266781246,0,easy
134,4->3,0.7858507844,1,med
137,3->1,0.4764685645,0,easy
138,1->3,0.8141933265,1,med
138,3->1,0.4764685645,0,med
139,4->3,0.6699594648,1,med
139,5->2,0.4458757585,0,med
140,2->1,0.5171860046,0,med
141,3->1,0.2913897665,0,easy
142,3->1,0.2913897665,0,med
144,1->3,0.6549941865,0,easy
145,1->3,0.8813171834,1,med
146,2->1,0.4798219320,0,med
148,1->2,0.5984473485,0,easy
149,1->2,0.5984473485,1,med
150,2->1,0.4163581804,1,med
151,2->1,0.5172663270,0,easy
152,2->3,0.9417325334,1,med
153,3->4,0.8347888828,1,med
153,4->3,0.3901515106,0,med
154,3->2,0.4802936033,0,easy
155,2->3,0.8256794881,1,med
155,3->2,0.4802936033,0,med
158,2->1,0.8698325982,1,med
159,1->2,0.7533532866,0,easy
159,2->1,0.8698325982,0,easy
160,4->1,0.3703639085,0,easy
161,4->1,0.3703639085,0,med
162,3->1,0.4161570263,0,easy
163,1->3,0.6599445582,1,med
163,3->1,0.4161570263,0,med
166,2->3,0.9141360296,1,med
167,2->1,0.5101051025,0,med
168,3->2,0.3669351600,1,med
168,5->4,0.3653841879,0,med
169,2->4,0.8347888828,1,med
169,4->2,0.4777797615,0,med
170,2->1,0.4591423178,0,easy
171,2->1,0.4591423178,0,med
174,2->1,0.7518341770,1,med
174,4->3,0.4434032681,0,med
175,2->1,0.4053274107,0,easy
175,4->3,0.4434032681,0,easy
176,1->2,0.6115556947,0,easy
177,1->2,0.8789570329,1,med
178,2->1,0.3895800427,0,easy
179,1->2,0.8141933265,1,med
179,2->1,0.3895800427,0,med
180,1->4,0.3924838937,0,med
180,2->3,0.5245617709,0,med
181,1->2,0.7988650515,1,med
181,2->1,0.4780540212,0,med
182,2->1,0.9049431916,1,med
183,2->1,0.7573001024,0,easy
184,2->1,0.3381926191,1,med
184,4->3,0.3122642388,0,med
185,2->1,0.3381926191,0,easy
185,4->3,0.3122642388,0,easy
190,1->2,0.8256794881,1,med
190,2->1,0.4183462542,0,med
191,2->1,0.5236851049,1,med
193,1->2,0.7369252678,1,med
194,1->4,0.6235243563,0,easy
194,2->3,0.5424589773,0,easy
195,1->4,0.6235243563,0,med
195,2->3,0.8262684648,1,med
196,2->3,0.5175871716,0,med
197,2->3,0.5175871716,0,easy
198,4->2,0.8440717913,0,easy
199,4->2,0.9287577178,1,med
200,2->1,0.9355233753,1,med
201,2->1,0.8702223091,0,easy
203,1->2,0.5375973145,1,med
205,2->3,0.8347888828,1,med
207,3->2,0.5449787903,0,easy
207,4->3,0.3891820651,0,easy
208,3->2,0.8550327523,1,med
208,4->3,0.3891820651,0,med
209,3->4,0.3707802668,1,med
210,1->2,0.7318904591,1,med
211,2->1,0.4763991625,0,easy
212,2->1,0.4763991625,0,med
213,3->1,0.8344023963,1,med
214,3->1,0.3929087426,0,easy
214,3->2,0.6336838029,0,easy
214,4->3,0.4289480360,0,easy
215,3->1,0.3929087426,0,med
215,3->2,0.6336838029,0,med
215,4->3,0.8058894197,1,med
216,2->1,0.5098516643,0,easy
217,1->2,0.8141933265,1,med
217,2->1,0.5098516643,0,med
218,3->2,0.3952903732,0,easy
219,3->2,0.3952903732,0,hard
221,1->3,0.3506386398,1,med
223,1->2,0.8141933265,1,med
225,1->2,0.8188537394,1,med
225,3->2,0.8479320476,1,med
226,2->3,0.8369010616,1,med
227,3->2,0.5372101096,0,easy
227,3->4,0.5210500529,0,easy
227,4->1,0.4170588200,0,easy
228,3->2,0.8617879787,1,med
228,3->4,0.5210500529,0,med
228,4->1,0.4170588200,0,med
229,2->1,0.8074622936,1,med
229,3->4,0.7357354311,0,med
233,1->2,0.6541269735,0,easy
234,1->2,0.8811164536,1,med
235,1->2,0.8141933265,1,med
236,1->2,0.8038917003,1,med
236,1->3,0.6097390393,0,med
237,2->1,0.8256794881,1,med
239,3->2,0.3819137370,0,med
239,4->1,0.8629353027,1,med
240,2->1,0.8426092984,1,med
242,1->2,0.5087885420,0,easy
243,1->2,0.8548602845,1,med
244,3->1,0.5201287061,0,med
245,2->3,0.4302535239,0,easy
246,2->3,0.8240486575,1,med
247,3->4,0.9116106061,0,med
249,1->2,0.6211851471,0,easy
250,1->2,0.8734398215,1,med
251,2->1,0.3522555489,0,easy
251,3->1,0.3485129294,0,easy
252,1->2,0.7533532866,1,med
252,2->1,0.3522555489,0,med
252,3->1,0.3485129294,0,med
253,2->1,0.4165087613,0,med
255,1->2,0.7763453817,1,med
256,3->1,0.8398393896,1,med
256,4->1,0.8508031510,1,med
257,3->1,0.4508448978,0,easy
257,4->1,0.4926264851,0,easy
258,4->1,0.4470307959,1,med
259,4->1,0.4470307959,0,easy
262,1->2,0.7120957704,1,med
263,1->3,0.5365250319,0,easy
263,3->2,0.4570648691,0,easy
264,3->2,0.3511349875,0,easy
265,3->2,0.3511349875,0,med
266,1->4,0.2543901440,0,easy
267,1->4,0.7156616180,1,med
268,1->2,0.3454656190,1,med
269,1->2,0.5151633005,0,easy
270,1->2,0.5151633005,1,med
271,2->1,0.7719467815,1,med
272,2->1,0.7719467815,0,easy
273,2->1,0.5563623431,1,med
275,1->2,0.7763453817,1,med
276,2->1,0.9111506634,1,med
277,2->1,0.9380457281,0,easy
280,1->3,0.8347888828,1,med
281,3->2,0.8256794881,1,med
282,2->1,0.4159554361,0,easy
283,1->2,0.8141933265,1,med
283,2->1,0.4159554361,0,med
284,2->3,0.5145854300,0,easy
285,2->3,0.5145854300,1,med
288,1->4,0.8633698118,1,med
290,1->2,0.8141933265,1,med
291,1->2,0.6542334112,1,med
292,2->1,0.5410226014,0,easy
293,1->2,0.8141933265,1,med
293,2->1,0.5410226014,0,med
295,1->2,0.8964998550,1,med
296,1->5,0.4651031867,0,med
296,4->2,0.8347888828,1,med
297,1->2,0.7327427577,0,easy
298,1->2,0.8946914664,1,med
299,2->1,0.8323279760,1,med
299,5->3,0.3443088470,0,med
300,2->1,0.5171355393,0,easy
300,5->3,0.3443088470,0,easy
301,2->1,0.5905550578,0,med
302,1->2,0.5647532330,0,easy
303,1->2,0.8539010032,1,med
304,2->1,0.2927219549,1,med
304,4->1,0.2931661824,1,med
304,5->3,0.2930678141,0,med
305,2->1,0.2927219549,0,easy
305,4->1,0.2931661824,0,easy
305,5->3,0.2930678141,0,easy
306,1->2,0.7230050961,0,easy
307,1->2,0.9005229842,1,med
308,4->2,0.3256817466,0,easy
309,4->2,0.3256817466,0,med
310,2->1,0.5116998438,0,med
312,1->2,0.9116106061,1,med
313,1->2,0.4638919481,0,easy
314,1->2,0.8267763818,1,med
315,3->1,0.3490971526,0,easy
315,4->2,0.3443782669,0,easy
316,1->3,0.7763453817,1,med
316,3->1,0.3490971526,0,med
316,4->2,0.3443782669,0,med
320,2->3,0.7191760708,1,med
320,3->2,0.3926965872,0,med
321,2->1,0.4855606674,0,med
321,3->2,0.4762602400,0,med
322,2->3,0.6474468268,1,med
323,2->3,0.5615059926,0,easy
324,2->3,0.5615059926,1,med
325,1->3,0.6928993564,0,med
326,2->1,0.5806870639,1,med
327,1->3,0.7421553307,1,med
327,4->1,0.4447080432,0,med
328,2->1,0.8196236060,1,med
328,3->4,0.4934772010,0,med
329,2->1,0.3813727446,0,easy
329,3->4,0.4934772010,0,easy
330,2->1,0.8342680663,1,med
330,4->3,0.3459210338,0,med
331,2->1,0.4307091714,0,easy
331,4->3,0.3459210338,0,easy
332,1->3,0.4557997628,0,easy
333,1->3,0.8046071151,1,med
334,2->1,0.8847502053,1,med
334,2->4,0.4863313790,0,med
335,4->3,0.3786142116,0,easy
336,1->2,0.4601627536,1,med
336,4->3,0.3786142116,0,med
337,4->3,0.3890489745,0,med
338,4->3,0.3890489745,0,easy
339,3->2,0.2799029743,1,hard
339,4->1,0.3848803708,0,hard
340,1->3,0.5298019623,1,hard
341,3->2,0.3600184584,0,hard
341,4->1,0.3272294830,1,hard
342,3->2,0.3600184584,0,easy
342,4->1,0.3272294830,0,easy
343,1->4,0.3501251552,0,med
343,3->2,0.3446124743,1,med
345,2->1,0.6372822418,1,med
345,3->1,0.5643309525,1,med
345,3->2,0.7838099475,0,med
346,2->1,0.6372822418,0,easy
346,3->1,0.5643309525,0,easy
346,3->2,0.8828273591,0,easy
347,2->1,0.3300963102,0,easy
348,2->1,0.3300963102,0,med
349,2->1,0.8163331675,1,med
350,2->1,0.3470758196,0,easy
351,3->1,0.8198225637,1,med
352,3->1,0.4161570263,0,easy
353,2->1,0.2916693109,0,easy
353,3->1,0.2916693109,0,easy
353,3->2,0.2926723452,0,easy
353,3->4,0.7025737104,0,easy
353,4->2,0.2917452678,0,easy
354,1->4,0.8256794881,1,med
354,2->1,0.2916693109,0,med
354,2->4,0.6599445582,0,med
354,3->1,0.7318751836,0,med
354,3->2,0.2926723452,0,med
354,3->4,0.7012375489,1,med
354,4->2,0.2917452678,0,med
356,2->1,0.4774572350,0,easy
357,2->1,0.4459809423,0,easy
358,2->1,0.4459809423,1,hard
358,2->3,0.8141933265,1,hard
359,2->4,0.3033185347,0,easy
359,3->2,0.4972875617,0,easy
359,3->4,0.4629098918,0,easy
360,2->4,0.3033185347,0,med
360,3->2,0.8478601521,1,med
360,3->4,0.4629098918,0,med
361,2->1,0.5108627265,0,easy
362,1->2,0.8256794881,1,med
362,2->1,0.5108627265,0,med
363,4->2,0.8486530189,1,med
363,4->3,0.5771567150,0,med
364,2->3,0.8696470109,1,hard
364,4->3,0.5483487113,1,hard
365,2->3,0.5863754662,0,easy
366,3->1,0.4365469800,0,med
366,4->1,0.8027106619,1,med
366,4->3,0.9062006030,0,med
367,2->1,0.5476141919,1,hard
367,2->3,0.4242111580,0,hard
367,3->1,0.5386924811,1,hard
367,4->1,0.8480159746,1,hard
367,4->2,0.4560865087,1,hard
367,4->3,0.4449216546,0,hard
368,2->1,0.5476141919,0,easy
368,2->3,0.4242111580,0,easy
368,3->1,0.5386924811,0,easy
368,4->1,0.4817389940,0,easy
368,4->2,0.4560865087,0,easy
368,4->3,0.7963571505,0,easy
369,2->1,0.4178531746,0,easy
369,3->2,0.5201007338,0,easy
369,4->1,0.4153987947,0,easy
369,4->2,0.5125082898,0,easy
369,4->3,0.4222484725,0,easy
370,2->1,0.4178531746,0,hard
370,2->3,0.7763453817,1,hard
370,3->2,0.5201007338,0,hard
370,4->1,0.4153987947,0,hard
